S.N.,Symbol,Company,Ratio,Units,Price,Opening Date,Closing Date,Book Closure Date,Listing Date,Issue Manager,Status,View,Eligibility Check
175,SDBL,Siddhartha Development Bank Limited,10:6,"8,515,006.00",100.00,2017-04-19,2017-05-23,2017-04-09,,Nabil Investment Banking Limited,Closed,,
176,LBL,Laxmi Bank Limited,1:1,"31,590,304.00",100.00,2017-04-15,2017-05-20,2017-03-31,,Siddhartha Capital Limited,Closed,,
177,CZBIL,Citizens Bank International Limited,10:2.5,"13,843,379.00",100.00,2017-04-05,2017-05-10,2017-03-09,,Sanima Capital Ltd.,Closed,,
178,PRIN,Prabhu Insurance Company Limited,2:1,"1,925,079.00",100.00,2017-04-11,2017-05-15,2017-03-19,,Prabhu Capital Limited,Closed,,
179,NICA,NIC Asia Bank Limited,100:15,"8,729,475.00",100.00,2017-03-28,2017-05-01,2017-03-20,,Civil Capital Markets Ltd.,Closed,,
180,TDBL,Tourism Development Bank Limited,1:1,"9,197,712.00",100.00,2017-03-25,2017-05-08,2017-03-10,,NIBL Capital Market Limited,Closed,,
181,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,2:1,"900,000.00",100.00,2017-03-26,2017-04-29,2017-03-13,,NCM Merchant Banking Ltd.,Closed,,
182,MIDBL,Mission Development Bank Limited,1:1,"1,949,250.00",100.00,2017-03-15,2017-04-18,2017-03-06,,Vibor Capital Limited,Closed,,
183,KBL,Kumari Bank Limited,2:1,"13,495,833.00",100.00,2017-03-18,2017-04-22,2017-03-03,,Siddhartha Capital Limited,Closed,,
184,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,1:1,"2,579,238.00",100.00,2017-03-19,2017-05-07,2017-02-13,,Nabil Investment Banking Ltd.,Closed,,
185,BHBL,Bhargav Bikash Bank Limited,1:1,"1,200,000.00",100.00,2017-03-06,2017-04-09,2017-03-23,,NMB Capital Limited,Closed,,
186,KBBL,Kailash Bikas Bank Limited,5:1,"3,160,672.00",100.00,2017-02-16,2017-03-22,2016-12-29,,Global IME Capital Ltd.,Closed,,
187,NIL,Neco Insurance Limited,1:1,"3,240,436.00",100.00,2017-02-13,2017-03-19,2016-12-29,,NMB Capital Ltd.,Closed,,
